127.0.0.1 - - [06/Mar/2025:07:20:30 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Mar/2025:07:20:33 +0300] "GET /AcademicTripSystem/ HTTP/1.1" 200 1700
0:0:0:0:0:0:0:1 - - [06/Mar/2025:07:20:33 +0300] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [06/Mar/2025:07:24:52 +0300] "POST /AcademicTripSystem/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Mar/2025:07:24:53 +0300] "GET /AcademicTripSystem/loginError.jsp HTTP/1.1" 200 673
0:0:0:0:0:0:0:1 - - [06/Mar/2025:07:24:55 +0300] "GET /AcademicTripSystem/login.jsp HTTP/1.1" 200 1700
0:0:0:0:0:0:0:1 - - [06/Mar/2025:07:26:15 +0300] "POST /AcademicTripSystem/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Mar/2025:07:26:15 +0300] "GET /AcademicTripSystem/transport/index.jsp HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [06/Mar/2025:07:27:32 +0300] "GET /AcademicTripSystem/transport/manageDrivers.jsp HTTP/1.1" 200 1983
0:0:0:0:0:0:0:1 - - [06/Mar/2025:07:28:09 +0300] "POST /AcademicTripSystem/transport/AddDriverServlet HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [06/Mar/2025:07:30:56 +0300] "POST /AcademicTripSystem/transport/AddDriverServlet HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [06/Mar/2025:07:31:00 +0300] "POST /AcademicTripSystem/transport/AddDriverServlet HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [06/Mar/2025:07:31:03 +0300] "GET /AcademicTripSystem/transport/manageDrivers.jsp HTTP/1.1" 200 1983
0:0:0:0:0:0:0:1 - - [06/Mar/2025:07:31:14 +0300] "POST /AcademicTripSystem/transport/AddDriverServlet HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [06/Mar/2025:07:35:12 +0300] "POST /AcademicTripSystem/transport/AddDriverServlet HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [06/Mar/2025:07:35:19 +0300] "GET /AcademicTripSystem/transport/manageDrivers.jsp HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [06/Mar/2025:07:35:37 +0300] "POST /AcademicTripSystem/transport/transport/addDriver HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [06/Mar/2025:07:36:05 +0300] "GET /AcademicTripSystem/transport/manageDrivers.jsp HTTP/1.1" 200 1977
0:0:0:0:0:0:0:1 - - [06/Mar/2025:07:36:16 +0300] "POST /addDriver HTTP/1.1" 404 760
